,playoff
16,1
17,1
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,0
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,1
47,1
48,1
49,1
51,1
52,1
53,0
54,1
55,1
56,0
57,0
58,1
60,0
61,0
62,0
63,1
64,1
65,0
66,0
67,1
68,1
69,1
70,0
71,1
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,1
87,0
88,0
90,1
91,1
92,1
93,1
94,1
95,0
96,0
97,0
98,1
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,1
107,0
108,0
109,1
110,1
111,1
112,1
113,1
114,0
116,0
117,1
118,1
119,0
120,1
121,1
122,0
123,1
124,0
125,1
126,1
127,1
128,0
