"playerID","award","year","lgID"
"thompti01w","All-Star Game Most Valuable Player",1,"WNBA"
"leslili01w","All-Star Game Most Valuable Player",2,"WNBA"
"leslili01w","All-Star Game Most Valuable Player",3,"WNBA"
"teaslni01w","All-Star Game Most Valuable Player",4,"WNBA"
"swoopsh01w","All-Star Game Most Valuable Player",6,"WNBA"
"douglka01w","All-Star Game Most Valuable Player",7,"WNBA"
"fordch01w","All-Star Game Most Valuable Player",8,"WNBA"
"cashsw01w","All-Star Game Most Valuable Player",10,"WNBA"
"coopemi01w","Coach of the Year",1,"WNBA"
"hugheda99w","Coach of the Year",2,"WNBA"
"stanlma99w","Coach of the Year",3,"WNBA"
"laimbbi01w","Coach of the Year",4,"WNBA"
"mcconsu01w","Coach of the Year",5,"WNBA"
"whisejo99w","Coach of the Year",6,"WNBA"
"thibami99w","Coach of the Year",7,"WNBA"
"hugheda99w","Coach of the Year",8,"WNBA"
"thibami99w","Coach of the Year",9,"WNBA"
"meadoma99w","Coach of the Year",10,"WNBA"
"swoopsh01w","Defensive Player of the Year",1,"WNBA"
"blackde01w","Defensive Player of the Year",2,"WNBA"
"swoopsh01w","Defensive Player of the Year",3,"WNBA"
"swoopsh01w","Defensive Player of the Year",4,"WNBA"
"leslili01w","Defensive Player of the Year",5,"WNBA"
"catchta01w","Defensive Player of the Year",6,"WNBA"
"catchta01w","Defensive Player of the Year",7,"WNBA"
"jacksla01w","Defensive Player of the Year",8,"WNBA"
"leslili01w","Defensive Player of the Year",9,"WNBA"
"catchta01w","Defensive Player of the Year",10,"WNBA"
"lawsoka01w","Kim Perrot Sportsmanship",10,"WNBA"
"mcconsu01w","Kim Perrot Sportsmanship Award",1,"WNBA"
"wickssu01w","Kim Perrot Sportsmanship Award",2,"WNBA"
"gilloje01w","Kim Perrot Sportsmanship Award",3,"WNBA"
"campbed01w","Kim Perrot Sportsmanship Award",4,"WNBA"
"edwarte01w","Kim Perrot Sportsmanship Award",5,"WNBA"
"mcwilta01w","Kim Perrot Sportsmanship Award",6,"WNBA"
"staleda01w","Kim Perrot Sportsmanship Award",7,"WNBA"
"beviltu01w","Kim Perrot Sportsmanship Award",8,"WNBA"
"johnsvi01w","Kim Perrot Sportsmanship Award",9,"WNBA"
"phillta01w","Most Improved Player",1,"WNBA"
"arcaija01w","Most Improved Player",2,"WNBA"
"milleco01w","Most Improved Player",3,"WNBA"
"snowmi01w","Most Improved Player",4,"WNBA"
"milleke01w","Most Improved Player",5,"WNBA"
"palmewe01w","Most Improved Player",5,"WNBA"
"mccarja01w","Most Improved Player",8,"WNBA"
"hoffmeb01w","Most Improved Player",9,"WNBA"
"langhcr01w","Most Improved Player",10,"WNBA"
"swoopsh01w","Most Valuable Player",1,"WNBA"
"leslili01w","Most Valuable Player",2,"WNBA"
"swoopsh01w","Most Valuable Player",3,"WNBA"
"jacksla01w","Most Valuable Player",4,"WNBA"
"leslili01w","Most Valuable Player",5,"WNBA"
"swoopsh01w","Most Valuable Player",6,"WNBA"
"leslili01w","Most Valuable Player",7,"WNBA"
"jacksla01w","Most Valuable Player",8,"WNBA"
"parkeca01w","Most Valuable Player",9,"WNBA"
"tauradi01w","Most Valuable Player",10,"WNBA"
"lennobe01w","Rookie of the Year",1,"WNBA"
"stileja01w","Rookie of the Year",2,"WNBA"
"catchta01w","Rookie of the Year",3,"WNBA"
"fordch01w","Rookie of the Year",4,"WNBA"
"tauradi01w","Rookie of the Year",5,"WNBA"
"johnste01w","Rookie of the Year",6,"WNBA"
"augusse01w","Rookie of the Year",7,"WNBA"
"pricear01w","Rookie of the Year",8,"WNBA"
"parkeca01w","Rookie of the Year",9,"WNBA"
"mccouan01w","Rookie of the Year",10,"WNBA"
"pierspl01w","Sixth Woman of the Year",8,"WNBA"
"wiggica01w","Sixth Woman of the Year",9,"WNBA"
"bonnede01w","Sixth Woman of the Year",10,"WNBA"
"coopecy01w","WNBA Finals Most Valuable Player",1,"WNBA"
"leslili01w","WNBA Finals Most Valuable Player",2,"WNBA"
"leslili01w","WNBA Finals Most Valuable Player",3,"WNBA"
"rileyru01w","WNBA Finals Most Valuable Player",4,"WNBA"
"lennobe01w","WNBA Finals Most Valuable Player",5,"WNBA"
"griffyo01w","WNBA Finals Most Valuable Player",6,"WNBA"
"nolande01w","WNBA Finals Most Valuable Player",7,"WNBA"
"pondeca01w","WNBA Finals Most Valuable Player",8,"WNBA"
"smithka01w","WNBA Finals Most Valuable Player",9,"WNBA"
"tauradi01w","WNBA Finals Most Valuable Player",10,"WNBA"
"birdsu01w","WNBA All-Decade Team",7,"WNBA"
"catchta01w","WNBA All-Decade Team",7,"WNBA"
"coopecy01w","WNBA All-Decade Team",7,"WNBA"
"griffyo01w","WNBA All-Decade Team",7,"WNBA"
"jacksla01w","WNBA All-Decade Team",7,"WNBA"
"leslili01w","WNBA All-Decade Team",7,"WNBA"
"smithka01w","WNBA All-Decade Team",7,"WNBA"
"staleda01w","WNBA All-Decade Team",7,"WNBA"
"swoopsh01w","WNBA All-Decade Team",7,"WNBA"
"thompti01w","WNBA All-Decade Team",7,"WNBA"
"boltoru01w","WNBA All Decade Team Honorable Mention",7,"WNBA"
"holdsch01w","WNBA All Decade Team Honorable Mention",7,"WNBA"
"penicti01w","WNBA All Decade Team Honorable Mention",7,"WNBA"
"tauradi01w","WNBA All Decade Team Honorable Mention",7,"WNBA"
"weathte01w","WNBA All Decade Team Honorable Mention",7,"WNBA"
