"coachID","year","tmID","lgID","stint","won","lost","post_wins","post_losses"
"adamsmi01w",5,"WAS","WNBA",0,17,17,1,2
"adubari99w",1,"NYL","WNBA",0,20,12,4,3
"adubari99w",2,"NYL","WNBA",0,21,11,3,3
"adubari99w",3,"NYL","WNBA",0,18,14,4,4
"adubari99w",4,"NYL","WNBA",0,16,18,0,0
"adubari99w",5,"NYL","WNBA",1,7,9,0,0
"adubari99w",6,"WAS","WNBA",0,16,18,0,0
"adubari99w",7,"WAS","WNBA",0,18,16,0,2
"adubari99w",8,"WAS","WNBA",1,0,4,0,0
"aglerbr99w",1,"MIN","WNBA",0,15,17,0,0
"aglerbr99w",2,"MIN","WNBA",0,12,20,0,0
"aglerbr99w",3,"MIN","WNBA",1,6,13,0,0
"aglerbr99w",9,"SEA","WNBA",0,22,12,1,2
"aglerbr99w",10,"SEA","WNBA",0,20,14,1,2
"allenso99w",1,"SAC","WNBA",0,21,11,0,2
"allenso99w",2,"SAC","WNBA",1,6,6,0,0
"bibbyhe01w",6,"LAS","WNBA",1,13,15,0,0
"boguemu01w",6,"CHA","WNBA",2,3,7,0,0
"boguemu01w",7,"CHA","WNBA",0,11,23,0,0
"bouceje01w",8,"SAC","WNBA",0,19,15,1,2
"bouceje01w",9,"SAC","WNBA",0,18,16,1,2
"bouceje01w",10,"SAC","WNBA",1,3,10,0,0
"brownde01w",3,"ORL","WNBA",0,16,16,0,0
"brownde01w",5,"SAS","WNBA",2,6,20,0,0
"bryanjo01w",6,"LAS","WNBA",2,4,2,0,2
"bryanjo01w",7,"LAS","WNBA",0,25,9,2,3
"chancva99w",1,"HOU","WNBA",0,27,5,6,0
"chancva99w",2,"HOU","WNBA",0,19,13,0,2
"chancva99w",3,"HOU","WNBA",0,24,8,1,2
"chancva99w",4,"HOU","WNBA",0,20,14,1,2
"chancva99w",5,"HOU","WNBA",0,13,21,0,0
"chancva99w",6,"HOU","WNBA",0,19,15,2,3
"chancva99w",7,"HOU","WNBA",0,18,16,0,2
"coopecy01w",2,"PHO","WNBA",0,13,19,0,0
"coopecy01w",3,"PHO","WNBA",1,6,4,0,0
"coopemi01w",1,"LAS","WNBA",0,28,4,2,2
"coopemi01w",2,"LAS","WNBA",0,28,4,6,1
"coopemi01w",3,"LAS","WNBA",0,25,7,6,0
"coopemi01w",4,"LAS","WNBA",0,24,10,5,4
"coopemi01w",5,"LAS","WNBA",1,14,6,0,0
"coopemi01w",8,"LAS","WNBA",0,10,24,0,0
"coopemi01w",9,"LAS","WNBA",0,20,14,3,3
"coopemi01w",10,"LAS","WNBA",0,18,16,3,3
"cowenda01w",7,"CHI","WNBA",0,5,29,0,0
"coylepa99w",5,"NYL","WNBA",2,11,7,2,3
"coylepa99w",6,"NYL","WNBA",0,18,16,0,2
"coylepa99w",7,"NYL","WNBA",0,11,23,0,0
"coylepa99w",8,"NYL","WNBA",0,16,18,1,2
"coylepa99w",9,"NYL","WNBA",0,19,15,3,3
