"playerID","year","stint","tmID","lgID","GP","GS","minutes","points","oRebounds","dRebounds","rebounds","assists","steals","blocks","turnovers","PF","fgAttempted","fgMade","ftAttempted","ftMade","threeAttempted","threeMade","dq","PostGP","PostGS","PostMinutes","PostPoints","PostoRebounds","PostdRebounds","PostRebounds","PostAssists","PostSteals","PostBlocks","PostTurnovers","PostPF","PostfgAttempted","PostfgMade","PostftAttempted","PostftMade","PostthreeAttempted","PostthreeMade","PostDQ"
"abrossv01w",2,0,"MIN","WNBA",26,23,846,343,43,131,174,53,42,9,85,70,293,114,132,96,76,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abrossv01w",3,0,"MIN","WNBA",27,27,805,314,45,101,146,60,42,10,92,73,316,119,116,56,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abrossv01w",4,0,"MIN","WNBA",30,25,792,318,44,97,141,82,44,11,90,79,285,112,98,69,82,25,0,3,3,69,23,1,4,5,4,4,1,8,8,22,6,8,8,7,3,0
"abrossv01w",5,0,"MIN","WNBA",22,11,462,146,17,57,74,45,30,2,43,42,139,49,46,28,53,20,0,2,2,67,20,3,6,9,3,1,2,3,7,23,8,4,2,8,2,0
"abrossv01w",6,0,"MIN","WNBA",31,31,777,304,29,78,107,60,48,6,80,86,276,109,73,53,82,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abrossv01w",7,0,"MIN","WNBA",34,2,724,263,44,62,106,54,34,1,61,66,241,99,62,41,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abrossv01w",8,0,"MIN","WNBA",34,29,843,345,53,97,150,85,44,4,68,86,298,132,43,36,101,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abrossv01w",9,0,"CON","WNBA",6,0,107,34,3,17,20,12,8,0,11,13,36,11,12,10,12,2,0,3,2,63,24,3,8,11,4,4,0,3,8,24,11,4,2,5,0,0
"adamsjo01w",4,0,"MIN","WNBA",10,0,96,33,10,13,23,4,2,3,10,10,33,13,2,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aguilel01w",3,0,"UTA","WNBA",28,0,141,43,0,11,11,16,3,2,11,5,33,14,7,4,21,11,0,2,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
