"year","round","series","tmIDWinner","lgIDWinner","tmIDLoser","lgIDLoser","W","L"
1,"FR","A","CLE","WNBA","ORL","WNBA",2,1
1,"FR","B","NYL","WNBA","WAS","WNBA",2,0
1,"FR","C","LAS","WNBA","PHO","WNBA",2,0
1,"FR","D","HOU","WNBA","SAC","WNBA",2,0
1,"CF","E","HOU","WNBA","LAS","WNBA",2,0
1,"CF","F","NYL","WNBA","CLE","WNBA",2,1
1,"F","G","HOU","WNBA","NYL","WNBA",2,0
2,"FR","A","CHA","WNBA","CLE","WNBA",2,1
2,"FR","B","NYL","WNBA","MIA","WNBA",2,1
2,"FR","C","LAS","WNBA","HOU","WNBA",2,0
2,"FR","D","SAC","WNBA","UTA","WNBA",2,0
2,"CF","E","CHA","WNBA","NYL","WNBA",2,1
2,"CF","F","LAS","WNBA","SAC","WNBA",2,1
2,"F","G","LAS","WNBA","CHA","WNBA",2,0
3,"FR","A","NYL","WNBA","IND","WNBA",2,1
3,"FR","B","WAS","WNBA","CHA","WNBA",2,0
3,"FR","C","LAS","WNBA","SEA","WNBA",2,0
3,"FR","D","UTA","WNBA","HOU","WNBA",2,1
3,"CF","E","NYL","WNBA","WAS","WNBA",2,1
3,"CF","F","LAS","WNBA","UTA","WNBA",2,0
3,"F","G","LAS","WNBA","NYL","WNBA",2,0
4,"FR","A","DET","WNBA","CLE","WNBA",2,1
4,"FR","B","CON","WNBA","CHA","WNBA",2,0
4,"FR","C","LAS","WNBA","MIN","WNBA",2,1
4,"FR","D","SAC","WNBA","HOU","WNBA",2,1
4,"CF","E","DET","WNBA","CON","WNBA",2,0
4,"CF","F","LAS","WNBA","SAC","WNBA",2,1
4,"F","G","DET","WNBA","LAS","WNBA",2,1
5,"FR","A","CON","WNBA","WAS","WNBA",2,1
5,"FR","B","NYL","WNBA","DET","WNBA",2,1
5,"FR","C","SEA","WNBA","MIN","WNBA",2,0
5,"FR","D","SAC","WNBA","LAS","WNBA",2,1
5,"CF","E","CON","WNBA","NYL","WNBA",2,0
5,"CF","F","SEA","WNBA","SAC","WNBA",2,1
5,"F","G","SEA","WNBA","CON","WNBA",2,1
6,"FR","A","CON","WNBA","DET","WNBA",2,0
6,"FR","B","IND","WNBA","NYL","WNBA",2,0
6,"FR","C","HOU","WNBA","SEA","WNBA",2,1
6,"FR","D","SAC","WNBA","LAS","WNBA",2,0
6,"CF","E","CON","WNBA","IND","WNBA",2,0
6,"CF","F","SAC","WNBA","HOU","WNBA",2,0
6,"F","G","SAC","WNBA","CON","WNBA",3,1
7,"FR","A","DET","WNBA","IND","WNBA",2,0
7,"FR","B","CON","WNBA","WAS","WNBA",2,0
7,"FR","C","LAS","WNBA","SEA","WNBA",2,1
7,"FR","D","SAC","WNBA","HOU","WNBA",2,0
7,"CF","E","DET","WNBA","CON","WNBA",2,1
7,"CF","F","SAC","WNBA","LAS","WNBA",2,0
7,"F","G","DET","WNBA","SAC","WNBA",3,2
8,"FR","A","DET","WNBA","NYL","WNBA",2,1
8,"FR","B","IND","WNBA","CON","WNBA",2,1
8,"FR","C","PHO","WNBA","SEA","WNBA",2,0
8,"FR","D","SAS","WNBA","SAC","WNBA",2,1
8,"CF","E","DET","WNBA","IND","WNBA",2,1
8,"CF","F","PHO","WNBA","SAS","WNBA",2,0
8,"F","G","PHO","WNBA","DET","WNBA",3,2
9,"FR","A","SAS","WNBA","SAC","WNBA",2,1
9,"FR","B","LAS","WNBA","SEA","WNBA",2,1
9,"FR","C","DET","WNBA","IND","WNBA",2,1
9,"FR","D","NYL","WNBA","CON","WNBA",2,1
9,"CF","E","SAS","WNBA","LAS","WNBA",2,1
9,"CF","F","DET","WNBA","NYL","WNBA",2,1
9,"F","G","DET","WNBA","SAS","WNBA",3,0
10,"FR","A","PHO","WNBA","SAS","WNBA",2,1
10,"FR","B","LAS","WNBA","SEA","WNBA",2,1
10,"FR","C","IND","WNBA","WAS","WNBA",2,0
10,"FR","D","DET","WNBA","ATL","WNBA",2,0
10,"CF","E","PHO","WNBA","LAS","WNBA",2,1
10,"CF","F","IND","WNBA","DET","WNBA",2,1
10,"F","G","PHO","WNBA","IND","WNBA",3,2
