"year","lgID","tmID","franchID","confID","divID","rank","playoff","seeded","firstRound","semis","finals","name","o_fgm","o_fga","o_ftm","o_fta","o_3pm","o_3pa","o_oreb","o_dreb","o_reb","o_asts","o_pf","o_stl","o_to","o_blk","o_pts","d_fgm","d_fga","d_ftm","d_fta","d_3pm","d_3pa","d_oreb","d_dreb","d_reb","d_asts","d_pf","d_stl","d_to","d_blk","d_pts","tmORB","tmDRB","tmTRB","opptmORB","opptmDRB","opptmTRB","won","lost","GP","homeW","homeL","awayW","awayL","confW","confL","min","attend","arena"
9,"WNBA","ATL","ATL","EA","",7,"N",0,"","","","Atlanta Dream",895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0,0,0,0,0,4,30,34,1,16,3,14,2,18,6825,141379,"Philips Arena"
10,"WNBA","ATL","ATL","EA","",2,"Y",0,"L","","","Atlanta Dream",1089,2428,569,755,114,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,0,0,0,0,0,0,18,16,34,12,5,6,11,10,12,6950,120737,"Philips Arena"
1,"WNBA","CHA","CHA","EA","",8,"N",0,"","","","Charlotte Sting",812,1903,431,577,131,386,305,630,935,551,713,222,496,90,2186,879,1930,533,716,138,423,326,664,990,596,596,259,426,123,2429,0,0,0,0,0,0,8,24,32,5,11,3,13,5,16,6475,90963,"Charlotte Coliseum"
2,"WNBA","CHA","CHA","EA","",4,"Y",0,"W","W","L","Charlotte Sting",746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,0,0,0,0,0,0,18,14,32,11,5,7,9,15,6,6500,105525,"Charlotte Coliseum"
3,"WNBA","CHA","CHA","EA","",2,"Y",0,"L","","","Charlotte Sting",770,1790,490,663,211,527,302,653,955,496,647,241,408,105,2241,778,1807,444,598,133,372,295,620,915,489,600,208,424,103,2133,0,0,0,0,0,0,18,14,32,11,5,7,9,12,9,6450,106670,"Charlotte Coliseum"
4,"WNBA","CHA","CHA","EA","",2,"Y",0,"L","","","Charlotte Sting",787,1881,456,590,187,517,342,629,971,499,697,279,497,115,2217,790,1902,477,667,138,407,386,621,1007,491,606,264,469,104,2195,0,0,0,0,0,0,18,16,34,13,4,5,12,12,12,6850,120061,"Charlotte Coliseum"
5,"WNBA","CHA","CHA","EA","",5,"N",0,"","","","Charlotte Sting",745,1744,436,590,166,459,256,616,872,426,648,210,479,134,2092,800,1932,438,587,130,349,368,628,996,516,595,243,437,114,2168,0,0,0,0,0,0,16,18,34,10,7,6,11,8,12,6900,116383,"Charlotte Coliseum"
6,"WNBA","CHA","CHA","EA","",6,"N",0,"","","","Charlotte Sting",772,1913,447,624,104,301,316,609,925,493,727,284,535,113,2095,851,1888,509,713,124,339,355,700,1055,496,654,269,534,146,2335,0,0,0,0,0,0,6,28,34,5,12,1,16,4,16,6945,98054,"Charlotte Coliseum"
7,"WNBA","CHA","CHA","EA","",6,"N",0,"","","","Charlotte Sting",864,2178,552,777,176,544,347,747,1094,527,734,315,574,155,2456,911,2149,594,791,155,465,370,870,1240,522,707,286,619,125,2571,0,0,0,0,0,0,11,23,34,7,10,4,13,6,14,6825,106942,"Time Warner Cable Arena"
7,"WNBA","CHI","CHI","EA","",7,"N",0,"","","","Chicago Sky",858,2175,449,643,157,536,357,680,1037,509,674,277,527,125,2322,971,2147,545,736,200,536,379,860,1239,623,584,262,535,120,2687,0,0,0,0,0,0,5,29,34,3,14,2,15,4,16,6800,57635,"UIC Pavilion"
8,"WNBA","CHI","CHI","EA","",6,"N",0,"","","","Chicago Sky",925,2277,489,723,186,544,383,782,1165,597,634,262,510,112,2525,963,2243,501,642,184,481,379,846,1225,584,683,242,566,138,2611,0,0,0,0,0,0,14,20,34,6,11,8,9,6,14,6972,66557,"UIC Pavilion"
9,"WNBA","CHI","CHI","EA","",5,"N",0,"","","","Chicago Sky",899,2100,564,812,110,341,357,770,1127,548,639,269,525,149,2472,917,2203,506,655,170,508,366,794,1160,531,681,255,522,124,2510,0,0,0,0,0,0,12,22,34,8,9,4,13,10,10,6875,62146,"UIC Pavilion"
10,"WNBA","CHI","CHI","EA","",5,"N",0,"","","","Chicago Sky",930,2136,527,693,186,471,307,776,1083,532,605,249,532,138,2573,1004,2269,479,613,206,593,359,797,1156,610,636,273,489,121,2693,0,0,0,0,0,0,16,18,34,12,5,4,13,10,12,6825,66852,"UIC Pavilion"
1,"WNBA","CLE","CLE","EA","",2,"Y",0,"W","L","","Cleveland Rockers",809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,0,0,0,0,0,0,17,15,32,13,3,4,12,13,8,6500,137532,"Quicken Loans Arena"
2,"WNBA","CLE","CLE","EA","",1,"Y",0,"L","","","Cleveland Rockers",763,1770,372,505,106,335,297,662,959,503,532,267,444,83,2004,664,1745,328,444,132,417,297,594,891,434,597,225,496,127,1788,0,0,0,0,0,0,22,10,32,14,2,8,8,15,6,6425,147373,"Quicken Loans Arena"
3,"WNBA","CLE","CLE","EA","",7,"N",0,"","","","Cleveland Rockers",760,1820,430,553,121,374,295,674,969,480,567,221,451,83,2071,797,1834,397,521,149,441,278,640,918,530,613,242,428,109,2140,0,0,0,0,0,0,10,22,32,4,12,6,10,7,14,6550,149084,"Quicken Loans Arena"
4,"WNBA","CLE","CLE","EA","",4,"Y",0,"L","","","Cleveland Rockers",815,1975,464,643,135,425,349,720,1069,517,639,226,466,86,2229,809,1927,465,607,127,355,300,704,1004,510,659,223,467,135,2210,0,0,0,0,0,0,17,17,34,11,6,6,11,13,11,6825,125793,"Quicken Loans Arena"
4,"WNBA","CON","CON","EA","",3,"Y",0,"W","L","","Connecticut Sun",864,2102,479,646,177,549,333,762,1095,520,663,270,434,111,2384,864,2104,509,673,172,536,366,812,1178,553,669,252,476,88,2409,0,0,0,0,0,0,18,16,34,10,7,8,9,11,13,6875,102433,"Mohegan Sun Arena"
5,"WNBA","CON","CON","EA","",1,"Y",0,"W","W","L","Connecticut Sun",876,2051,434,590,149,467,321,724,1045,572,610,299,462,96,2335,858,1996,443,599,145,384,306,757,1063,565,627,239,492,113,2304,0,0,0,0,0,0,18,16,34,10,7,8,9,14,6,6900,114017,"Mohegan Sun Arena"
6,"WNBA","CON","CON","EA","",1,"Y",0,"W","W","W","Connecticut Sun",916,2025,512,688,130,373,322,788,1110,573,624,236,452,130,2474,835,2100,452,599,122,400,350,728,1078,495,675,258,442,79,2244,0,0,0,0,0,0,26,8,34,14,3,12,5,13,7,6800,121944,"Mohegan Sun Arena"
7,"WNBA","CON","CON","EA","",1,"Y",0,"W","L","","Connecticut Sun",982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,0,0,0,0,0,0,26,8,34,14,3,12,5,15,5,6825,126096,"Mohegan Sun Arena"
8,"WNBA","CON","CON","EA","",3,"Y",0,"L","","","Connecticut Sun",1001,2327,478,615,195,572,354,868,1222,619,641,272,540,156,2675,976,2317,475,626,166,485,337,842,1179,581,633,246,524,85,2593,0,0,0,0,0,0,18,16,34,8,9,10,7,10,10,6925,135490,"Mohegan Sun Arena"
9,"WNBA","CON","CON","EA","",2,"Y",0,"L","","","Connecticut Sun",965,2286,539,723,221,669,370,869,1239,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,1200,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951,"Mohegan Sun Arena"
10,"WNBA","CON","CON","EA","",6,"N",0,"","","","Connecticut Sun",966,2381,517,692,202,639,358,826,1184,608,677,250,453,130,2651,953,2236,591,746,157,488,329,945,1274,525,684,248,549,125,2654,0,0,0,0,0,0,16,18,34,12,5,4,13,10,12,6975,115496,"Mohegan Sun Arena"
1,"WNBA","DET","DET","EA","",5,"N",0,"","","","Detroit Shock",868,1980,519,699,76,273,341,644,985,503,701,260,530,88,2331,905,1967,480,652,136,372,331,640,971,513,672,284,543,148,2426,0,0,0,0,0,0,14,18,32,8,8,6,10,10,11,6425,107289,"The Palace of Auburn Hills"
2,"WNBA","DET","DET","EA","",7,"N",0,"","","","Detroit Shock",774,1914,412,542,143,405,324,621,945,469,602,225,498,82,2103,848,1837,446,583,127,340,279,702,981,438,591,262,483,109,2269,0,0,0,0,0,0,10,22,32,6,10,4,12,7,14,6550,109348,"The Palace of Auburn Hills"
3,"WNBA","DET","DET","EA","",8,"N",0,"","","","Detroit Shock",766,1919,472,651,110,364,360,719,1079,478,609,201,541,132,2114,828,1984,464,605,146,447,314,669,983,465,637,277,443,139,2266,0,0,0,0,0,0,9,23,32,7,9,2,14,6,15,6450,94171,"The Palace of Auburn Hills"
