"year","tmID","lgID","W","L"
1,"HOU","WNBA",6,0
1,"ORL","WNBA",1,2
1,"CLE","WNBA",3,3
1,"WAS","WNBA",0,2
1,"NYL","WNBA",4,3
1,"PHO","WNBA",0,2
1,"LAS","WNBA",2,2
1,"SAC","WNBA",0,2
2,"CLE","WNBA",1,2
2,"CHA","WNBA",4,4
2,"MIA","WNBA",1,2
2,"NYL","WNBA",3,3
2,"HOU","WNBA",0,2
2,"LAS","WNBA",6,1
2,"UTA","WNBA",0,2
2,"SAC","WNBA",3,2
3,"WAS","WNBA",3,2
3,"SEA","WNBA",0,2
3,"LAS","WNBA",6,0
3,"HOU","WNBA",1,2
3,"UTA","WNBA",2,3
3,"IND","WNBA",1,2
3,"NYL","WNBA",4,4
3,"CHA","WNBA",0,2
4,"SAC","WNBA",3,3
4,"CLE","WNBA",1,2
4,"DET","WNBA",6,2
4,"CHA","WNBA",0,2
4,"CON","WNBA",2,2
4,"MIN","WNBA",1,2
4,"LAS","WNBA",5,4
4,"HOU","WNBA",1,2
5,"WAS","WNBA",1,2
5,"CON","WNBA",5,3
5,"DET","WNBA",1,2
5,"NYL","WNBA",2,3
5,"MIN","WNBA",0,2
5,"SEA","WNBA",6,2
5,"LAS","WNBA",1,2
5,"SAC","WNBA",3,3
6,"CON","WNBA",5,3
6,"NYL","WNBA",0,2
6,"IND","WNBA",2,2
6,"SEA","WNBA",1,2
6,"HOU","WNBA",2,3
6,"LAS","WNBA",0,2
6,"SAC","WNBA",7,1
6,"DET","WNBA",0,2
7,"LAS","WNBA",2,3
7,"HOU","WNBA",0,2
7,"SAC","WNBA",6,3
7,"IND","WNBA",0,2
7,"DET","WNBA",7,3
7,"WAS","WNBA",0,2
7,"CON","WNBA",3,2
7,"SEA","WNBA",1,2
8,"NYL","WNBA",1,2
8,"DET","WNBA",6,5
8,"CON","WNBA",1,2
8,"IND","WNBA",3,3
8,"SEA","WNBA",0,2
8,"PHO","WNBA",7,2
8,"SAC","WNBA",1,2
8,"SAS","WNBA",2,3
9,"SAS","WNBA",4,5
9,"SEA","WNBA",1,2
9,"LAS","WNBA",3,3
9,"IND","WNBA",1,2
9,"DET","WNBA",7,2
9,"CON","WNBA",1,2
9,"NYL","WNBA",3,3
9,"SAC","WNBA",1,2
10,"IND","WNBA",6,4
10,"ATL","WNBA",0,2
10,"DET","WNBA",3,2
10,"SAS","WNBA",1,2
10,"PHO","WNBA",7,4
10,"SEA","WNBA",1,2
10,"LAS","WNBA",3,3
10,"WAS","WNBA",0,2
