clf = RandomizedSearchCV(classifier, param_dist, cv=5, scoring='accuracy', refit=True, verbose=2)

Year: 3, Classifier: RandomForestClassifier, Accuracy: 0.62, Num Predictions: 16, Num Correct: 10
Year: 4, Classifier: RandomForestClassifier, Accuracy: 0.29, Num Predictions: 14, Num Correct: 4
Year: 5, Classifier: RandomForestClassifier, Accuracy: 0.69, Num Predictions: 13, Num Correct: 9
Year: 6, Classifier: RandomForestClassifier, Accuracy: 0.69, Num Predictions: 13, Num Correct: 9
Year: 7, Classifier: RandomForestClassifier, Accuracy: 0.86, Num Predictions: 14, Num Correct: 12
Year: 8, Classifier: RandomForestClassifier, Accuracy: 0.54, Num Predictions: 13, Num Correct: 7
Year: 9, Classifier: RandomForestClassifier, Accuracy: 0.86, Num Predictions: 14, Num Correct: 12
Year: 10, Classifier: RandomForestClassifier, Accuracy: 0.54, Num Predictions: 13, Num Correct: 7
Year: 3, Classifier: RandomForestClassifier, Accuracy: 0.69, Num Predictions: 208, Num Correct: 143
Year: 4, Classifier: RandomForestClassifier, Accuracy: 0.42, Num Predictions: 217, Num Correct: 91
Year: 5, Classifier: RandomForestClassifier, Accuracy: 0.68, Num Predictions: 180, Num Correct: 123
Year: 6, Classifier: RandomForestClassifier, Accuracy: 0.64, Num Predictions: 167, Num Correct: 107
Year: 7, Classifier: RandomForestClassifier, Accuracy: 0.68, Num Predictions: 178, Num Correct: 121
Year: 8, Classifier: RandomForestClassifier, Accuracy: 0.59, Num Predictions: 180, Num Correct: 106
Year: 9, Classifier: RandomForestClassifier, Accuracy: 0.61, Num Predictions: 173, Num Correct: 106
Year: 10, Classifier: RandomForestClassifier, Accuracy: 0.57, Num Predictions: 200, Num Correct: 115

clf = RandomizedSearchCV(classifier, param_dist, cv=10, scoring='accuracy', refit=True, verbose=2)


Year: 3, Classifier: RandomForestClassifier, Accuracy: 0.75, Num Predictions: 16, Num Correct: 12
Year: 4, Classifier: RandomForestClassifier, Accuracy: 0.29, Num Predictions: 14, Num Correct: 4
Year: 5, Classifier: RandomForestClassifier, Accuracy: 0.69, Num Predictions: 13, Num Correct: 9
Year: 6, Classifier: RandomForestClassifier, Accuracy: 0.69, Num Predictions: 13, Num Correct: 9
Year: 7, Classifier: RandomForestClassifier, Accuracy: 0.86, Num Predictions: 14, Num Correct: 12
Year: 8, Classifier: RandomForestClassifier, Accuracy: 0.54, Num Predictions: 13, Num Correct: 7
Year: 9, Classifier: RandomForestClassifier, Accuracy: 0.86, Num Predictions: 14, Num Correct: 12
Year: 10, Classifier: RandomForestClassifier, Accuracy: 0.54, Num Predictions: 13, Num Correct: 7
Year: 3, Classifier: RandomForestClassifier, Accuracy: 0.68, Num Predictions: 208, Num Correct: 141
Year: 4, Classifier: RandomForestClassifier, Accuracy: 0.41, Num Predictions: 217, Num Correct: 90
Year: 5, Classifier: RandomForestClassifier, Accuracy: 0.68, Num Predictions: 180, Num Correct: 122
Year: 6, Classifier: RandomForestClassifier, Accuracy: 0.70, Num Predictions: 167, Num Correct: 117
Year: 7, Classifier: RandomForestClassifier, Accuracy: 0.67, Num Predictions: 178, Num Correct: 120
Year: 8, Classifier: RandomForestClassifier, Accuracy: 0.60, Num Predictions: 180, Num Correct: 108
Year: 9, Classifier: RandomForestClassifier, Accuracy: 0.56, Num Predictions: 173, Num Correct: 97
Year: 10, Classifier: RandomForestClassifier, Accuracy: 0.54, Num Predictions: 200, Num Correct: 107

clf = GridSearchCV(classifier, param_dist, cv=5, scoring='accuracy',refit=True, verbose=2)

