bioID,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate
abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09
adamsjo01w,C,0,0,75.0,180,New Mexico,,1981-05-24
aguilel01w,G,0,0,67.0,165,George Washington,,1976-10-15
ajavoma01w,G,0,0,68.0,160,Rutgers,,1986-05-07
aldrima01w,G,0,0,71.0,153,UNC Charlotte,,1973-09-15
alhalta01w,F-G,0,0,72.0,149,DePaul,,1974-10-17
allench01w,G,0,0,71.0,135,Notre Dame,,1986-07-23
amachma01w,F,0,0,73.0,175,,,1978-01-30
ambermo01w,F,0,0,76.0,169,Arizona State,,1970-12-21
anderam01w,F,0,0,72.0,167,Brigham Young,,1984-03-14
anderch01w,C,0,0,78.0,190,Vanderbilt,,1981-01-22
anderjo01w,G,0,0,68.0,166,Wisconsin,,1986-07-22
anderke01w,G,0,0,67.0,125,Wisconsin,,1974-05-17
andrame01w,F,0,0,71.0,165,Old Dominion,,1975-12-31
anosini01w,C,0,0,75.0,211,Tennessee,,1986-02-27
arcaija01w,G,0,0,71.0,147,none,,1969-04-11
askamma01w,C,0,0,77.0,198,none,,1970-08-07
atkinla01w,G-F,0,0,72.0,172,North Carolina,,1984-03-22
atunrmo01w,G-F,0,0,70.0,143,Texas A&M,,1986-04-14
augusse01w,F,0,0,72.0,179,Louisiana State,,1984-04-30
aycocan01w,G-F,0,0,74.0,172,Kansas,,1973-02-28
azizle01w,F,0,0,75.0,177,Syracuse,,1979-02-28
azzije01w,G,0,0,68.0,143,Stanford,,1968-08-31
badertr01w,G,0,0,64.0,125,Boise State,,1973-02-26
bakersh01w,G,0,0,68.0,125,Georgia,,1982-12-03
balesal01w,C,0,0,79.0,218,Duke,,1985-04-04
banchrh01w,C,0,0,75.0,185,Washington,,1973-05-01
baranel01w,F,0,0,77.0,182,Academy of Sport Moscow,,1972-01-28
barksla01w,G,0,0,70.0,156,North Carolina,,1979-10-03
barnead01w,F,0,0,71.0,165,Arizona,,1977-02-03
barnequ01w,C,0,0,77.0,185,Indiana,,1976-09-26
batkosu01w,C,0,0,76.0,203,,,1980-12-17
batteja01w,F,0,0,73.0,163,Notre Dame,,1983-03-26
battlas01w,F,0,0,72.0,170,Connecticut,,1982-05-31
bauerca01w,F-C,0,0,76.0,180,Montana State,,1972-06-27
beardal01w,G-F,0,0,71.0,160,Duke,,1982-05-14
beckki01w,G,0,0,68.0,125,George Washington,,1985-12-27
bennije01w,F,0,0,75.0,185,Vanderbilt,,1981-10-06
berezva01w,C,0,0,76.0,0,Rice,,1986-04-10
berthlu01w,F-C,0,0,74.0,188,Old Dominion,,1978-03-31
beviltu01w,G,0,0,67.0,145,,,1972-07-19
bibbyje01w,G,0,0,67.0,139,,,1979-08-23
bibrzag01w,G-F,0,0,74.0,168,,,1982-10-21
birdsu01w,G,0,0,69.0,150,Connecticut,,1980-10-16
bjorkte01w,C,0,0,76.0,175,Colorado,,1982-06-29
blackch01w,C,0,0,77.0,188,Duke,,1985-11-12
blackde01w,G,0,0,63.0,124,St. Joseph's,,1966-07-29
blodgci01w,G,0,0,69.0,130,Maine,,1975-12-23
blueni01w,G,0,0,68.0,163,UCLA,,1984-03-29
blueoc01w,F,0,0,73.0,163,Miami (FL),,1976-08-18
bobbish01w,G,0,0,62.0,130,Tennessee,,1985-12-06
boddiwh01w,G,0,0,69.0,149,Auburn,,1987-01-23
boltoru01w,G,0,0,69.0,150,Auburn,,1967-05-25
bondla01w,G,0,0,67.0,132,Missouri,,1984-02-13
bonfisu01w,G,0,0,68.0,145,,,1974-09-08
bonnede01w,G,0,0,76.0,136,Auburn,,1987-08-21
bowenli01w,G,0,0,67.0,145,Michigan State,,1983-10-25
boydca01w,F,0,0,73.0,172,,,1975-10-31
braxtka01w,F-C,0,0,78.0,210,Georgia,,1983-02-18
brazian01w,F,0,0,74.0,169,Texas Tech,,1976-09-18
bristre01w,G,0,0,70.0,139,Arizona,,1978-02-10
brogami01w,F,0,0,73.0,177,,,1973-02-08
brondsa01w,G,0,0,67.0,136,U. Western Sydney,,1968-08-20
brownco01w,G,0,0,69.0,150,North Carolina,,1980-10-21
browned01w,G-F,0,0,69.0,163,Texas,,1978-07-01
brownki01w,G,0,0,70.0,134,Georgia,,1979-01-13
brownru01w,F,0,0,74.0,175,Furman,,1972-05-05
brumfma01w,G,0,0,68.0,133,Rice,,1978-06-06
brungje01w,F,0,0,73.0,165,Penn State,,1982-04-16
brunsre01w,F,0,0,75.0,175,Georgetown,,1981-12-11
bullevi01w,F,0,0,75.0,185,Maryland,,1967-10-04
burgean01w,G,0,0,67.0,141,,,1969-04-10
burgeli01w,F,0,0,73.0,173,Alabama,,1969-07-27
burraal01w,C,0,0,75.0,218,Louisiana Tech,,1975-06-23
burseja01w,C,0,0,77.0,199,Tulane,,1979-05-19
buttsta01w,G,0,0,71.0,160,Tennessee,,1982-03-10
byearla01w,G-F,0,0,71.0,206,DePaul,NE Oklahoma A&M (JC),1973-08-12
campbed01w,G,0,0,68.0,152,Texas,,1968-11-26
campbmi01w,F-C,0,0,77.0,170,USC,,1974-02-20
cantydo01w,G-F,0,0,69.0,162,Alabama,,1977-03-02
careyja01w,G,0,0,66.0,135,Texas,,1981-03-12
carsoes01w,G-F,0,0,72.0,165,Rutgers,,1986-07-28
carteam01w,F,0,0,74.0,185,Louisiana State,,1982-06-21
cashsw01w,F,0,0,73.0,162,Connecticut,,1979-09-22
cassija01w,C,0,0,75.0,187,Maine,,1978-09-12
castriz01w,F-G,0,0,72.0,140,,,1982-03-13
catchta01w,F,0,0,73.0,167,Tennessee,,1979-07-21
caufila01w,G,0,0,69.0,159,Oklahoma,,1980-05-25
chambco01w,G,0,0,69.0,160,Georgia,,1985-07-06
chanequ01w,G,0,0,71.0,160,Louisiana State,,1986-04-14
chapmji01w,C,0,0,75.0,206,Indiana,,1979-11-04
choneka01w,C,0,0,75.0,180,North Carolina State,,1981-01-11
