bioID,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,playerID,year,stint_x,tmID,lgID,GP_x,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,W,L,coachID,stint_y,won_x,lost_x,post_wins,post_losses,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won_y,lost_y,GP_y,homeW,homeL,awayW,awayL,confW,confL,min,attend
abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09,abrossv01w,4,0,MIN,WNBA,30,25,792,318,44,97,141,82,44,11,90,79,285,112,98,69,82,25,0,3,3,69,23,1,4,5,4,4,1,8,8,22,6,8,8,7,3,0,1,2,mcconsu01w,0,18,16,1,2,MIN,WE,4,Y,L,,,Minnesota Lynx,875,1978,450,624,180,524,361,718,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253
adamsjo01w,C,0,0,75.0,180,New Mexico,,1981-05-24,adamsjo01w,4,0,MIN,WNBA,10,0,96,33,10,13,23,4,2,3,10,10,33,13,2,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,mcconsu01w,0,18,16,1,2,MIN,WE,4,Y,L,,,Minnesota Lynx,875,1978,450,624,180,524,361,718,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253
burseja01w,C,0,0,77.0,199,Tulane,,1979-05-19,burseja01w,4,0,MIN,WNBA,29,14,438,206,40,68,108,19,13,28,42,81,155,76,70,54,2,0,2,3,3,42,16,2,7,9,2,4,2,3,3,18,6,6,4,0,0,0,1,2,mcconsu01w,0,18,16,1,2,MIN,WE,4,Y,L,,,Minnesota Lynx,875,1978,450,624,180,524,361,718,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253
edwarte01w,G-F,0,0,71.0,155,Georgia,,1964-07-09,edwarte01w,4,0,MIN,WNBA,34,34,854,181,24,81,105,148,41,11,92,60,168,63,40,31,80,24,0,3,3,83,20,1,9,10,19,5,1,8,6,19,6,4,4,12,4,0,1,2,mcconsu01w,0,18,16,1,2,MIN,WE,4,Y,L,,,Minnesota Lynx,875,1978,450,624,180,524,361,718,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253
gortmsh01w,G,0,0,70.0,158,South Carolina,,1979-12-07,gortmsh01w,4,0,MIN,WNBA,25,0,200,50,9,23,32,14,11,1,20,25,49,21,4,3,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,mcconsu01w,0,18,16,1,2,MIN,WE,4,Y,L,,,Minnesota Lynx,875,1978,450,624,180,524,361,718,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253
harrokr01w,G,0,0,64.0,139,,,1975-03-04,harrokr01w,4,0,MIN,WNBA,31,0,499,88,9,30,39,72,18,3,39,15,87,32,13,8,43,16,0,3,0,65,11,1,6,7,5,1,0,3,6,11,4,2,1,7,2,0,1,2,mcconsu01w,0,18,16,1,2,MIN,WE,4,Y,L,,,Minnesota Lynx,875,1978,450,624,180,524,361,718,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253
pridely01w,F-G,0,0,74.0,180,Kansas,,1978-10-16,pridely01w,4,1,MIN,WNBA,13,0,66,17,8,9,17,1,3,1,8,11,14,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,mcconsu01w,0,18,16,1,2,MIN,WE,4,Y,L,,,Minnesota Lynx,875,1978,450,624,180,524,361,718,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253
samsh01w,F-G,0,0,72.0,160,Vanderbilt,,1974-05-05,samsh01w,4,0,MIN,WNBA,34,28,953,374,46,96,142,88,38,6,48,70,360,138,105,74,73,24,0,3,0,74,26,5,11,16,8,6,0,8,6,28,10,8,6,4,0,0,1,2,mcconsu01w,0,18,16,1,2,MIN,WE,4,Y,L,,,Minnesota Lynx,875,1978,450,624,180,524,361,718,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253
schwege01w,G-F,0,0,72.0,160,Duke,,1979-01-31,schwege01w,4,0,MIN,WNBA,16,0,118,15,7,11,18,7,3,1,8,6,17,6,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,mcconsu01w,0,18,16,1,2,MIN,WE,4,Y,L,,,Minnesota Lynx,875,1978,450,624,180,524,361,718,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253
smithka01w,G-F,0,0,71.0,174,Ohio State,,1974-06-04,smithka01w,4,0,MIN,WNBA,34,34,1185,620,40,98,138,84,25,6,67,112,455,208,143,126,200,78,2,3,3,120,52,3,10,13,9,1,0,8,11,42,18,12,11,14,5,0,1,2,mcconsu01w,0,18,16,1,2,MIN,WE,4,Y,L,,,Minnesota Lynx,875,1978,450,624,180,524,361,718,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253
