playerID,year,stint,tmID,GP,oRebounds,dRebounds,dq,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostDQ,ft%,fg%,three%,gs%,Postft%,Postfg%,Postthree%,Postgs%,efg%,ts%,ppg,rpg,apg,spg,bpg,eff,pp36,defensive_prowess,defensive_discipline,mpg,pos,college,playoff,confID,playoff_progression,height,weight,award_count
0,2,0,551,26,1.65,5.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.39,0.25,0.88,0.0,0.0,0.0,0.0,0.84,0.98,13.19,6.69,2.04,1.62,0.35,-276.11,14.76,70.0,11.92,32.54,2,571,0,697,0,74.0,169,0
0,3,0,551,27,1.67,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.38,0.33,1.0,0.0,0.0,0.0,0.0,0.82,0.86,11.63,5.41,2.22,1.56,0.37,-327.81,14.040000000000001,56.7,12.22,29.81,2,571,0,697,0,74.0,169,0
0,4,0,551,30,1.47,3.23,0.0,23.0,7.67,0.33,1.33,1.67,1.33,1.33,0.33,2.67,2.67,0.0,0.7,0.39,0.3,0.83,1.0,0.27,0.43,1.0,0.88,0.96,10.6,4.7,2.73,1.47,0.37,-272.13,14.4,50.7,11.26,26.4,2,571,1,697,1,74.0,169,0
0,5,0,551,22,0.77,2.59,0.0,33.5,10.0,1.5,3.0,4.5,1.5,0.5,1.0,1.5,3.5,0.0,0.61,0.35,0.38,0.5,0.5,0.35,0.25,1.0,0.84,0.92,6.64,3.36,2.05,1.36,0.09,-137.5,11.52,40.5,7.72,21.0,2,571,1,697,1,74.0,169,0
0,6,0,551,31,0.94,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.39,0.4,1.0,0.0,0.0,0.0,0.0,0.9,0.98,9.81,3.45,1.94,1.55,0.19,-250.06,14.040000000000001,42.599999999999994,10.7,25.06,2,571,0,697,0,74.0,169,0
0,7,0,551,34,1.29,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.41,0.37,0.06,0.0,0.0,0.0,0.0,0.92,0.98,7.74,3.12,1.59,1.0,0.03,-210.52,12.959999999999999,28.5,7.48,21.29,2,571,0,697,0,74.0,169,0
0,8,0,551,34,1.56,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.44,0.45,0.85,0.0,0.0,0.0,0.0,1.04,1.08,10.15,4.41,2.5,1.29,0.12,-222.53,14.76,42.599999999999994,9.06,24.79,2,571,0,697,0,74.0,169,0
0,9,0,552,6,0.5,2.83,0.0,21.0,8.0,1.0,2.67,3.67,1.33,1.33,0.0,1.0,2.67,0.0,0.83,0.31,0.17,0.0,0.5,0.46,0.0,0.67,0.66,0.82,5.67,3.33,2.0,1.33,0.0,-25.67,11.52,41.7,8.0,17.83,2,571,1,698,1,74.0,169,0
1,4,0,551,10,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39,0.42,0.0,0.0,0.0,0.0,0.0,0.94,0.98,3.3,2.3,0.4,0.2,0.3,-23.5,12.24,18.0,4.0,9.6,3,572,1,697,1,75.0,180,0
2,3,0,553,28,0.0,0.39,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.57,0.42,0.52,0.0,0.0,0.0,0.0,0.0,1.18,1.2,1.54,0.39,0.57,0.11,0.07,-30.32,10.799999999999999,5.699999999999999,1.14,5.04,1,573,1,697,0,67.0,165,0
