playerID,year,tmID,GP,oRebounds,dRebounds,dq,PostPoints,ft%,fg%,three%,gs%,efg%,ts%,ppg,rpg,apg,spg,bpg,eff,pp36,defensive_prowess,defensive_discipline,mpg,pos,college,stats_post,W%,postW%,playoff,confID,playoff_progression,height,weight,award_count,career_year,playoff_progression_rolling,eff_rolling,award_count_rolling,defensive_prowess_rolling,stats_post_rolling,PostPoints_rolling,W%_rolling,postW%_rolling,rpg_rolling,apg_rolling
434,4,555,34.0,1.18,2.88,0.06,17.33,0.88,0.46,0.39,1.0,1.08,1.2,18.24,4.06,2.47,0.74,0.18,-305.31,18.72,37.9,10.52,34.85,5,631,-0.07,0.53,0.33,1.0,701,1.0,71.0,174,0.0,4,0.0,-354.74,0.0,35.03333333333333,0.0,0.0,0.3883333333333333,0.0,3.2300000000000004,2.5166666666666666
230,4,573,34.0,0.71,1.71,0.0,0.0,0.81,0.34,0.35,1.0,0.78,0.82,8.82,2.41,4.29,1.53,0.12,-299.83,11.16,33.5,8.12,28.18,1,621,0.0,0.24,0.0,0.0,701,0.0,66.0,118,0.0,4,0.0,-159.33,0.0,24.0,0.0,0.0,0.4266666666666667,0.0,1.5633333333333332,2.216666666666667
240,4,564,31.0,0.23,0.58,0.0,0.0,0.73,0.25,0.26,0.03,0.6,0.72,1.87,0.81,0.29,0.1,0.03,-69.9,7.56,7.1,2.9,9.0,2,662,0.0,0.385,0.0,0.0,701,0.0,73.0,150,0.0,4,0.3333333333333333,-81.92666666666666,0.0,10.633333333333333,-0.2166666666666666,1.8,0.5800000000000001,0.1333333333333333,1.0666666666666669,0.51
242,4,566,30.0,1.03,1.7,0.0,0.67,0.56,0.56,0.0,0.07,1.12,1.14,2.97,2.73,0.63,0.4,0.33,-54.94,7.56,24.3,3.6,13.87,3,663,0.6,0.5,0.33,1.0,702,1.0,75.0,165,0.0,4,1.0,-62.54999999999999,0.0,19.466666666666665,0.5,0.5833333333333334,0.5633333333333334,0.2766666666666666,2.47,0.4733333333333333
504,4,569,20.0,0.1,1.35,0.0,0.0,0.85,0.28,0.29,0.5,0.78,0.86,3.15,1.45,2.4,0.7,0.1,-72.2,6.48,21.5,6.2,17.4,1,581,0.0,0.47,0.0,0.0,702,0.0,66.0,138,0.0,4,2.333333333333333,-102.55,0.0,45.53333333333333,-0.1133333333333333,4.72,0.8933333333333332,0.5533333333333333,3.133333333333333,3.536666666666666
505,4,563,24.0,1.02,0.74,0.0,0.0,2.0,0.62,0.5800000000000001,0.0,1.44,1.58,4.54,1.77,0.68,0.44,0.0,-45.56999999999999,16.92,11.9,3.74,18.77,2,653,0.0,0.79,0.0,0.0,701,0.0,71.0,160,0.0,4,0.3333333333333333,-59.65,0.0,7.233333333333334,-0.1166666666666666,1.6666666666666667,0.425,0.1999999999999999,1.23,0.3966666666666666
243,4,556,34.0,1.15,2.79,0.0,11.25,0.73,0.43,0.26,1.0,0.92,1.06,12.35,3.94,5.76,1.29,0.09,-310.57,13.68,41.8,10.82,32.56,1,651,-0.05,0.53,0.5,1.0,702,2.0,67.0,152,0.0,4,0.3333333333333333,-290.6,0.0,45.3,-0.06,2.0,0.47,0.11,3.986666666666667,4.386666666666667
245,4,558,22.0,0.86,2.0,0.0,0.0,0.74,0.48,0.0,0.14,0.96,1.06,3.5,2.86,0.59,0.14,0.32,-50.59,7.56,24.5,4.82,16.32,3,588,-0.35,0.59,0.33,1.0,701,1.0,76.0,240,0.0,4,2.0,-107.07,0.0,39.56666666666667,0.06,5.113333333333333,0.7266666666666666,0.4433333333333333,4.82,0.7433333333333333
246,4,562,32.0,0.94,2.03,0.0,0.0,0.86,0.46,0.36,1.0,1.02,1.12,13.44,2.97,2.34,0.91,0.22,-235.12,14.76,31.6,7.5,32.56,5,621,0.0,0.47,0.0,0.0,702,0.0,69.0,150,0.0,4,2.6666666666666665,-224.26666666666665,0.0,36.66666666666666,-0.6966666666666667,12.456666666666663,0.6133333333333334,0.5233333333333333,3.76,2.6566666666666667
507,4,562,34.0,0.56,2.29,0.0,0.0,0.75,0.39,0.0,1.0,0.78,0.9,2.88,2.85,4.38,0.82,0.15,-117.92,4.32,32.599999999999994,7.18,24.24,1,621,0.0,0.47,0.0,0.0,702,0.0,68.0,161,0.0,4,2.6666666666666665,-174.70333333333335,0.0,43.63333333333333,-0.3666666666666667,5.006666666666667,0.6133333333333334,0.5233333333333333,3.263333333333333,6.136666666666667
437,4,561,34.0,1.79,3.71,0.06,12.83,0.71,0.44,0.27,1.0,0.92,0.96,12.65,5.5,1.53,1.26,0.94,-290.12,15.84,59.1,9.36,29.0,4,632,-0.96,0.5700000000000001,0.25,1.0,701,2.0,76.0,160,0.0,4,1.0,-272.0433333333333,0.0,66.26666666666667,-0.1899999999999999,7.166666666666667,0.5666666666666667,0.0999999999999999,5.676666666666667,1.29
