bioID,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,year,stint_x,tmID,GP_x,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,W,L,coachID,stint_y,won_x,lost_x,post_wins,post_losses,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won_y,lost_y,GP_y,homeW,homeL,awayW,awayL,confW,confL,min,attend
abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09,2,0,MIN,26,23,846,343,43,131,174,53,42,9,85,70,293,114,132,96,76,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,aglerbr99w,0,12,20,0,0,MIN,WE,6,N,,,,Minnesota Lynx,671,1810,559,727,176,552,308,693,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,511,719,259,470,126,2156,0,0,0,0,0,0,12,20,32,6,10,6,10,9,12,6475,120607
burseja01w,C,0,0,77.0,199,Tulane,,1979-05-19,2,0,MIN,20,0,169,47,23,19,42,5,2,15,20,20,48,16,20,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,aglerbr99w,0,12,20,0,0,MIN,WE,6,N,,,,Minnesota Lynx,671,1810,559,727,176,552,308,693,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,511,719,259,470,126,2156,0,0,0,0,0,0,12,20,32,6,10,6,10,9,12,6475,120607
harrokr01w,G,0,0,64.0,139,,,1975-03-04,2,0,MIN,4,1,72,21,1,3,4,11,3,0,3,4,15,7,4,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,aglerbr99w,0,12,20,0,0,MIN,WE,6,N,,,,Minnesota Lynx,671,1810,559,727,176,552,308,693,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,511,719,259,470,126,2156,0,0,0,0,0,0,12,20,32,6,10,6,10,9,12,6475,120607
lennobe01w,G,0,0,68.0,143,Louisiana Tech,,1976-12-04,2,0,MIN,11,7,241,121,13,41,54,16,10,4,25,29,110,41,20,19,52,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,aglerbr99w,0,12,20,0,0,MIN,WE,6,N,,,,Minnesota Lynx,671,1810,559,727,176,552,308,693,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,511,719,259,470,126,2156,0,0,0,0,0,0,12,20,32,6,10,6,10,9,12,6475,120607
martima01w,F,0,0,76.0,172,UCLA,,1978-04-17,2,0,MIN,31,12,494,95,27,59,86,19,17,15,37,87,103,35,31,19,18,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,aglerbr99w,0,12,20,0,0,MIN,WE,6,N,,,,Minnesota Lynx,671,1810,559,727,176,552,308,693,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,511,719,259,470,126,2156,0,0,0,0,0,0,12,20,32,6,10,6,10,9,12,6475,120607
payeka01w,G,0,0,68.0,150,Stanford,,1974-03-06,2,0,MIN,32,16,652,91,7,54,61,97,21,0,46,55,78,30,16,11,56,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,aglerbr99w,0,12,20,0,0,MIN,WE,6,N,,,,Minnesota Lynx,671,1810,559,727,176,552,308,693,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,511,719,259,470,126,2156,0,0,0,0,0,0,12,20,32,6,10,6,10,9,12,6475,120607
pridely01w,F-G,0,0,74.0,180,Kansas,,1978-10-16,2,0,MIN,32,14,713,170,47,99,146,28,28,20,46,77,174,68,55,33,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,aglerbr99w,0,12,20,0,0,MIN,WE,6,N,,,,Minnesota Lynx,671,1810,559,727,176,552,308,693,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,511,719,259,470,126,2156,0,0,0,0,0,0,12,20,32,6,10,6,10,9,12,6475,120607
schwege01w,G-F,0,0,72.0,160,Duke,,1979-01-31,2,0,MIN,24,8,423,87,15,35,50,34,11,6,17,34,103,33,17,13,43,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,aglerbr99w,0,12,20,0,0,MIN,WE,6,N,,,,Minnesota Lynx,671,1810,559,727,176,552,308,693,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,511,719,259,470,126,2156,0,0,0,0,0,0,12,20,32,6,10,6,10,9,12,6475,120607
smithka01w,G-F,0,0,71.0,174,Ohio State,,1974-06-04,2,0,MIN,32,32,1234,739,40,82,122,70,23,5,87,94,519,204,275,246,240,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,aglerbr99w,0,12,20,0,0,MIN,WE,6,N,,,,Minnesota Lynx,671,1810,559,727,176,552,308,693,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,511,719,259,470,126,2156,0,0,0,0,0,0,12,20,32,6,10,6,10,9,12,6475,120607
stiresh01w,F,0,0,71.0,208,Kansas State,,1972-05-21,2,0,MIN,18,5,201,51,10,17,27,14,8,4,19,26,53,20,7,5,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,aglerbr99w,0,12,20,0,0,MIN,WE,6,N,,,,Minnesota Lynx,671,1810,559,727,176,552,308,693,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,511,719,259,470,126,2156,0,0,0,0,0,0,12,20,32,6,10,6,10,9,12,6475,120607
